Text	Intents	States	Slots
hi , i want to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
the sushi boat for 6	O	INFORM	O B-restaurant_name I-restaurant_name O B-num_people 	0
this friday	O	INFORM	O B-date 	0
7 pm	O	INFORM	B-time I-time 	0
that ' s right	O	AFFIRM	O O O O 	0
thanks	O	THANK_YOU	O 	0
i need to make reservation for 6 pm	RESERVE_RESTAURANT	O	O O O O O O B-time I-time 	1
next monday at il fornaio	O	INFORM	B-date I-date O B-restaurant_name I-restaurant_name 	0
what	O	CANT_UNDERSTAND	O 	0
6 people	O	INFORM	B-num_people O 	0
no	O	NEGATE	O 	0
yes . 8 pm please	O	AFFIRM	O O B-time I-time O 	0
bye	O	GOOD_BYE	O 	0
hi , i want to make a reservation for 6 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-time I-time 	1
6 people on friday for sushi boat	O	INFORM	B-num_people O O B-date O B-restaurant_name I-restaurant_name 	0
6.30 pm is fine	O	AFFIRM	B-time I-time O O 	0
bye	O	GOOD_BYE	O 	0
hi ! can you book me a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
5	O	INFORM	B-num_people 	0
correct	O	AFFIRM	O 	0
date is wednesday at the sushi boat	O	INFORM	O O B-date O O B-restaurant_name I-restaurant_name 	0
7.15 pm	O	INFORM	B-time I-time 	0
right	O	AFFIRM	O 	0
agree	O	AFFIRM	O 	0
thanks cya	O	THANK_YOU+GOOD_BYE	O O 	0
make a restaurant reservation	RESERVE_RESTAURANT	O	O O O O 	1
8 pm tonight	O	INFORM	B-time I-time B-date 	0
5 at sakoon	O	INFORM	B-num_people O B-restaurant_name 	0
no	O	NEGATE	O 	0
what about at sumiko	O	INFORM	O O O B-restaurant_name 	0
ok , never mind . bye	O	GOOD_BYE	O O O O O O 	0
hi i want to make a dinner reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
3 at cascal	O	INFORM	B-num_people O B-restaurant_name 	0
next monday	O	INFORM	B-date I-date 	0
7 pm	O	INFORM	B-time I-time 	0
7.15 pm is ok	O	AFFIRM	B-time I-time O O 	0
thanks , goodbye	O	THANK_YOU+GOOD_BYE	O O O 	0
find restaurant that serves breakfast	FIND_RESTAURANT	O	O O O O B-meal 	1
for the morristown area	O	INFORM	O O B-location O 	0
i choose cascal	O	AFFIRM	O O B-restaurant_name 	0
i want to set a reservation	RESERVE_RESTAURANT	O	O O O O O O 	1
tomorrow at 7.15 pm . there will be 3 people	O	INFORM	B-date O B-time I-time O O O O B-num_people O 	0
yes	O	AFFIRM	O 	0
sakoon	O	INFORM	B-restaurant_name 	0
yes	O	AFFIRM	O 	0
yep	O	AFFIRM	O 	0
thanks	O	THANK_YOU	O 	0
i would like to make a restaurant reservation for tomorrow	RESERVE_RESTAURANT	O	O O O O O O O O O B-date 	1
2 people and anytime is good	O	INFORM	B-num_people O O O O O 	0
yes 2 people and anytime	O	INFORM+AFFIRM	O B-num_people O O O 	0
amarin	O	INFORM	B-restaurant_name 	0
yes	O	AFFIRM	O 	0
goodbye	O	GOOD_BYE	O 	0
hi , please get me a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
8 pm tomorrow for 2	O	INFORM	B-time I-time B-date O B-num_people 	0
cheese cake factory	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name 	0
no	O	NEGATE	O 	0
how about at amarin	O	INFORM	O O O B-restaurant_name 	0
yes , at amarin at 8 pm tomorrow for 2	O	AFFIRM	O O O B-restaurant_name O B-time I-time B-date O B-num_people 	0
bye	O	GOOD_BYE	O 	0
hello ! please reserve a restaurant for tomorrow at 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O B-date O B-time I-time 	1
2 people please	O	INFORM	B-num_people O O 	0
the name is los altos grill	O	INFORM	O O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
no problem . thanks . see you later	O	THANK_YOU+GOOD_BYE	O O O O O O O O 	0
hi . i ' d like to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O 	1
4 people at 7.15 pm	O	INFORM	B-num_people O O B-time I-time 	0
yes . that ' s correct	O	AFFIRM	O O O O O O 	0
sakoon	O	INFORM	B-restaurant_name 	0
friday	O	INFORM	B-date 	0
that ' s correct	O	AFFIRM	O O O O 	0
goodbye	O	GOOD_BYE	O 	0
hi i want to make a reservation next monday at 5.30 pm for 3 people	RESERVE_RESTAURANT	GREETING	O O O O O O O B-date I-date O B-time I-time O B-num_people O 	1
yes	O	AFFIRM	O 	0
pompei	O	INFORM	B-restaurant_name 	0
yes	O	AFFIRM	O 	0
no	O	NEGATE	O 	0
what about at cetrella	O	INFORM	O O O B-restaurant_name 	0
no	O	NEGATE	O 	0
what about at oren hummus	O	INFORM	O O O B-restaurant_name I-restaurant_name 	0
no	O	NEGATE	O 	0
what if i change the date to wednesday	O	INFORM	O O O O O O O B-date 	0
yes	O	AFFIRM	O 	0
no	O	NEGATE	O 	0
no	O	NEGATE	O 	0
what about at ephesus	O	INFORM	O O O B-restaurant_name 	0
no	O	NEGATE	O 	0
